goos: linux
goarch: amd64
pkg: github.com/xilapa/go-tiny-projects/lfu-cache
cpu: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
BenchmarkLinkedListItemCast-8   	 3962091	       303.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3918546	       384.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1863826	       598.6 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3903052	       306.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3953944	       304.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3948512	       644.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3277023	       307.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3910244	       307.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3911341	       613.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3948938	       305.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3961052	       304.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3931770	       547.8 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1866584	       573.2 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3904263	       304.0 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3940524	       303.0 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3569361	       631.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3948876	       303.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3956094	       306.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3961411	       606.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3957421	       303.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3967278	       303.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3969297	       327.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1861180	       643.6 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3921226	       303.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3965558	       401.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1862757	       555.8 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3947720	       303.3 ns/op	     104 B/op	       4 allocs/op
