goos: linux
goarch: amd64
pkg: github.com/xilapa/go-tiny-projects/lfu-cache
cpu: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
BenchmarkLinkedListItemCast-8   	 3531608	       344.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3487507	       422.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1679864	       720.6 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 2958128	       340.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3531123	       339.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3542138	       709.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 2975863	       339.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3491425	       578.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1662117	       689.2 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3550594	       338.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3503274	       614.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1679216	       614.7 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3541074	       341.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3525876	       656.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1678987	       736.4 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1635468	       721.2 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1671691	       719.7 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1671069	       721.0 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1640448	       720.0 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1670701	       720.9 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1681141	       724.7 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1674624	       714.3 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3527834	       342.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3533508	       680.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3524458	       386.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1672437	       717.9 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3527724	       373.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1675231	       717.7 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3550203	       339.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3497756	       482.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1598349	       735.2 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3540558	       339.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3548582	       373.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1656232	       716.3 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3533692	       340.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3520680	       479.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1675610	       716.4 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3540670	       340.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3516486	       361.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1667480	       728.0 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3530768	       339.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3549193	       476.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1664001	       717.5 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3534907	       341.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3510235	       344.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1658468	       726.2 ns/op	     119 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3549501	       340.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3486327	       427.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1630338	       717.4 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3037179	       340.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3557076	       341.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3522249	       718.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3134998	       342.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3548316	       338.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3078384	       727.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3522942	       339.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3539985	       552.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1675021	       717.7 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3139236	       340.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3533467	       340.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3543097	       669.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3504097	       338.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3548353	       503.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1666999	       727.6 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3546896	       337.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3507938	       429.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1665164	       715.8 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3019408	       339.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3470526	       341.7 ns/op	     120 B/op	       5 allocs/op
